,Unnamed: 0,Question,Answer,True/False,Result
0,0,who got Nobel Prize 2023 in Peace ?,Narges Mohammadi,True,True
1,1,who got The Nobel Prize in Physiology or Medicine 2023 ?,Drew Weissman & Katalin Karikó,True,True
2,2,who won 2023 Cricket World Cup?,Australia,True,True
3,3,Who is the player of the series in 2023 Cricket World Cup?,Virat Kohli,True,True
4,4,How many teams are their in 2023 Cricket World Cup?,10 teams,True,True
5,5,Bangladesh won how many matches in 2023 Cricket World Cup Mens ODI?,2 matches,True,False
6,6,Which Bangladeshi teenager nominated for International Children's Peace Prize 2023?,Mainul Islam,True,True
7,7,Who was the interim CEO to lead OpenAI in 2023 when Sam Altman was fierd?,Mira Murati,True,False
8,8,When the Khawaja Tower in Dhaka's Mohakhali Fire brokout in 2023?,Evening,True,True
9,9,When was Dhaka Metro Rail inaugurated in Bangladesh ?,29th  December 2022,True,True
10,10,What is the slogan of metro rail in Bangladesh?,Moving People Saving Time and Environment,True,False
11,11,Is metro rail off on Friday in bangladesh?,Yes,True,True
12,12,Who inaugurated metro rail in bangladesh?,Prime Minister Sheikh Hasina,True,True
13,13,Who funded Bangladesh metro?,Japanese International Cooperation Agency (JICA),True,True
14,14,Leo indian film release date,19-Oct-23,True,True
15,15,Leo Hollywood film release date netflix,"November 17, 2023 (USA)",True,True
16,16,The protagonist of the movie Zom 100: Bucket List of the Dead is Akira Tendo what it is his real name?,He is portrayed by Eiji Akaso,True,False
17,17,which Republican lawmaker got expelled from US House in 2023?,George Santos,True,True
18,18,what is the Magnitude of earthquake in december 2nd 2023 at bangladesh?,Magnitude of 5.5 ,True,True
19,19,"When did the earthquake take place at Ramganj, Chittagong, Bangladesh, on December 2,2023?",9:35 AM,True,False
20,20,"Are there any initial reports of damage or casualties from the earthquake at Ramganj, Chittagong, Bangladesh, on December 2,2023?",No,True,True
21,21,In which division did the earthquake occur in december 2nd 2023 at bangladesh?,Chittagong Division,True,True
22,22,"Where did the earthquake occur in relation to Ramganj, Chittagong Division in december 2nd 2023?",Around 9 km (5 miles) northeast.,True,True
23,23,Who won the opening Test between Bangladesh and New Zealand in Sylhet in 2023 bangladesh?,Bangladesh,True,True
24,24,Who was the standout bowler for Bangladesh in the opening Test in bd vs nz match in 2023 ?,Taijul Islam,True,True
25,25,When are the general elections scheduled to be held in Bangladesh in 2024?,7-Jan-24,True,True
26,26,What caused disruption in internet and telecom services in Dhaka's Mohakhali in 2023 for few days?,Fire at Khawaja Tower,True,False
27,28,What does ICX stand for in the telecommunication network?,ICX stands for Interconnection Exchanges,True,True
28,29,What was the year-on-year increase in remittance sent home by migrant workers in November 2023?,21 percent,True,True
29,30,"How much did migrant workers send home in November 2023, and how does it compare to the same month last year 2022?","$1.93 billion,an increase from $1.59 billion",True,True
30,31,What is the current trend in remittance receipts compared to the previous month 2023?,November's receipts were 2.42 percent down from the previous month,True,
31,32,"How many garment workers were injured during the earthquake incident in Chauddagram, Cumilla, and what caused the rush to exit the factory building december 2023?",76 workers,True,
32,33,Taijul Islam takes how many wickets in the first Test at the Sylhet International Cricket Stadium november 2023?,10,True,
33,34,What is the capital of France?,Paris,True,
34,35,Who is the CEO of Microsoft?,Satya Nadella,True,
35,36,What is the boiling point of water in Celsius?,100,True,
36,37,What is the highest mountain peak in the solar system?,Olympus Mons,True,
37,38,How many legs does a cat have?,4,True,
38,39,What is the chemical symbol for gold?,Au,True,
39,40,Who painted the Mona Lisa?,Leonardo da Vinci,True,
40,41,What is the smallest country in the world?,Vatican City,True,
41,42,What is the largest planet in our solar system?,Jupiter,True,
42,43,What is the square root of 16?,4,True,
43,44,"Who wrote the book ""To Kill a Mockingbird""?",Harper Lee,True,
44,45,What is the speed of light in meters per second?,299792458,True,
45,46,What is the currency of Japan?,Yen,True,
46,47,What is the number of sides of a hexagon?,6,True,
47,48,Who won the first season of American Idol?,Kelly Clarkson,True,
48,49,What is the name of the largest city in Scandinavia?,Stockholm,True,
49,50,What is the scientific term for the fear of long words?,Sesquipedalophobia,True,
50,51,Who played the role of Luke Skywalker in Star Wars?,Mark Hamill,True,
51,52,What is the total number of seconds in a day?,86400,True,
52,53,What is the percentage of oxygen in the Earth's atmosphere?,21,True,
53,54,Who is the richest person in the world?,Jeff Bezos,True,
54,55,What is the length of the Great Wall of China in kilometers?,6700,True,
55,56,What is the weight of a flock of flamingos?,7.7 pounds,True,
56,57,Who is the lead singer of the band Queen?,Freddie Mercury,True,
57,58,What is the temperature at which water freezes in Fahrenheit?,32,True,
58,59,What is the date of Christmas Day in December?,25-Dec,True,
59,60,Who is the author of the Harry Potter series?,JK Rowling,True,
60,61,What is the height of Mount Everest in feet?,29029,True,
61,62,What is the number of letters in the Greek alphabet?,24,True,
62,63,Who is the current President of the United States?,Joe Biden,True,
63,64,What is the value of pi to two decimal places?,3.14,True,
64,65,What is the name of the largest living thing on Earth?,Armillaria ostoyae,True,
65,66,What is the number of hours in a week?,168,True,
66,67,Who is the founder of Facebook?,Mark Zuckerberg,True,
67,68,What is the size of a tennis court in square meters?,232.56,True,
68,69,What is the number of vertebrae in a human spine?,33,True,
69,70,Who is the CEO of Amazon?,Jeff Bezos,True,
70,71,What is the volume of a cubic centimeter in milliliters?,1,True,
71,72,What is the mass of a neutron in kilograms?,1.67 x 10^-27,True,
72,73,Who is the leader of North Korea?,Kim Jong-un,True,
73,74,What is the number of teeth in a healthy adult human mouth?,32,True,
74,75,What is the density of water in grams per milliliter?,1,True,
75,76,"Who is the author of the novel ""The Great Gatsby""?",F Scott Fitzgerald,True,
76,77,What is the distance between the Earth and the Sun in miles?,93 million,True,
77,78,What is the number of days in a leap year?,366,True,
78,79,Who is the head coach of the New England Patriots football team?,Bill Belichick,True,
79,80,What is the number of muscles in the human body?,640,True,
80,81,What is the number of countries in the European Union?,27,True,
81,82,Who is the winner of the first season of Survivor?,Richard Hatch,True,
82,83,What is the number of chromosomes in a human cell?,46,True,
83,84,What is the number of inches in a yard?,36,True,
84,85,Who is the lead singer of the band AC/DC?,Brian Johnson,True,
85,86,What is the number of slices in a standard pizza?,8,True,
86,87,What is the number of keys on a standard piano keyboard?,88,True,
87,88,Who is the owner of the Seattle Seahawks football team?,Paul Allen,True,
88,89,What is the number of states in the United States of America?,50,True,
89,90,"Who is the host of the television show ""Jeopardy!""?",Alex Trebek,True,
