Question,Answer,True/False,Result,Error
who got Nobel Prize 2023 in Peace ?,Narges Mohammadi,True,False,
who got The Nobel Prize in Physiology or Medicine 2023 ?,Drew Weissman & Katalin Karikó,True,False,
who won 2023 Cricket World Cup?,Australia,True,False,
Who is the player of the series in 2023 Cricket World Cup?,Virat Kohli,True,False,
How many teams are their in 2023 Cricket World Cup?,10 teams,True,True,
Bangladesh won how many matches in 2023 Cricket World Cup Mens ODI?,2 matches,True,False,
Which Bangladeshi teenager nominated for International Children's Peace Prize 2023?,Mainul Islam,True,False,
Who was the interim CEO to lead OpenAI in 2023 when Sam Altman was fierd?,Mira Murati,True,False,
When the Khawaja Tower in Dhaka's Mohakhali Fire brokout in 2023?,Evening,True,False,
When was Dhaka Metro Rail inaugurated in Bangladesh ?,29th  December 2022,True,False,
What is the slogan of metro rail in Bangladesh?,Moving People Saving Time and Environment,True,False,
Is metro rail off on Friday in bangladesh?,Yes,True,True,
Who inaugurated metro rail in bangladesh?,Prime Minister Sheikh Hasina,True,True,
Who funded Bangladesh metro?,Japanese International Cooperation Agency (JICA),True,False,
Leo indian film release date,19-Oct-23,True,False,
Leo Hollywood film release date netflix,"November 17, 2023 (USA)",True,False,
The protagonist of the movie Zom 100: Bucket List of the Dead is Akira Tendo what it is his real name?,He is portrayed by Eiji Akaso,True,False,
which Republican lawmaker got expelled from US House in 2023?,George Santos,True,False,
what is the Magnitude of earthquake in december 2nd 2023 at bangladesh?,Magnitude of 5.5 ,True,False,
"When did the earthquake take place at Ramganj, Chittagong, Bangladesh, on December 2,2023?",9:35 AM,True,False,
"Are there any initial reports of damage or casualties from the earthquake at Ramganj, Chittagong, Bangladesh, on December 2,2023?",No,True,True,
In which division did the earthquake occur in december 2nd 2023 at bangladesh?,Chittagong Division,True,False,
"Where did the earthquake occur in relation to Ramganj, Chittagong Division in december 2nd 2023?",Around 9 km (5 miles) northeast.,True,False,
Who won the opening Test between Bangladesh and New Zealand in Sylhet in 2023 bangladesh?,Bangladesh,True,False,
Who was the standout bowler for Bangladesh in the opening Test in bd vs nz match in 2023 ?,Taijul Islam,True,True,
When are the general elections scheduled to be held in Bangladesh in 2024?,7-Jan-24,True,True,
What caused disruption in internet and telecom services in Dhaka's Mohakhali in 2023 for few days?,Fire at Khawaja Tower,True,False,
What does ICX stand for in the telecommunication network?,ICX stands for Interconnection Exchanges,True,False,
What was the year-on-year increase in remittance sent home by migrant workers in November 2023?,21 percent,True,False,
"How much did migrant workers send home in November 2023, and how does it compare to the same month last year 2022?","$1.93 billion,an increase from $1.59 billion",True,False,
What is the current trend in remittance receipts compared to the previous month 2023?,November's receipts were 2.42 percent down from the previous month,True,False,
"How many garment workers were injured during the earthquake incident in Chauddagram, Cumilla, and what caused the rush to exit the factory building december 2023?",76 workers,True,False,
Taijul Islam takes how many wickets in the first Test at the Sylhet International Cricket Stadium november 2023?,10,True,False,
What is the capital of France?,Paris,True,True,
Who is the CEO of Microsoft?,Satya Nadella,True,True,
What is the boiling point of water in Celsius?,100,True,True,
What is the highest mountain peak in the solar system?,Olympus Mons,True,True,
How many legs does a cat have?,4,True,True,
What is the chemical symbol for gold?,Au,True,True,
Who painted the Mona Lisa?,Leonardo da Vinci,True,True,
What is the smallest country in the world?,Vatican City,True,True,
What is the largest planet in our solar system?,Jupiter,True,True,
What is the square root of 16?,4,True,True,
"Who wrote the book ""To Kill a Mockingbird""?",Harper Lee,True,True,
What is the speed of light in meters per second?,299792458,True,True,
What is the currency of Japan?,Yen,True,True,
What is the number of sides of a hexagon?,6,True,True,
Who won the first season of American Idol?,Kelly Clarkson,True,True,
What is the name of the largest city in Scandinavia?,Stockholm,True,True,
What is the scientific term for the fear of long words?,Sesquipedalophobia,True,True,
Who played the role of Luke Skywalker in Star Wars?,Mark Hamill,True,True,
What is the total number of seconds in a day?,86400,True,True,
What is the percentage of oxygen in the Earth's atmosphere?,21,True,True,
Who is the richest person in the world?,Jeff Bezos,True,True,
What is the length of the Great Wall of China in kilometers?,6700,True,False,
What is the weight of a flock of flamingos?,7.7 pounds,True,True,
Who is the lead singer of the band Queen?,Freddie Mercury,True,True,
What is the temperature at which water freezes in Fahrenheit?,32,True,True,
What is the date of Christmas Day in December?,25-Dec,True,True,
Who is the author of the Harry Potter series?,JK Rowling,True,True,
What is the height of Mount Everest in feet?,29029,True,True,
What is the number of letters in the Greek alphabet?,24,True,False,
Who is the current President of the United States?,Joe Biden,True,False,
What is the value of pi to two decimal places?,3.14,True,True,
What is the name of the largest living thing on Earth?,Armillaria ostoyae,True,False,
What is the number of hours in a week?,168,True,True,
Who is the founder of Facebook?,Mark Zuckerberg,True,True,
What is the size of a tennis court in square meters?,232.56,True,False,
What is the number of vertebrae in a human spine?,33,True,False,
Who is the CEO of Amazon?,Jeff Bezos,True,True,
What is the volume of a cubic centimeter in milliliters?,1,True,True,
What is the mass of a neutron in kilograms?,1.67 x 10^-27,True,True,
Who is the leader of North Korea?,Kim Jong-un,True,True,
What is the number of teeth in a healthy adult human mouth?,32,True,True,
What is the density of water in grams per milliliter?,1,True,True,
"Who is the author of the novel ""The Great Gatsby""?",F Scott Fitzgerald,True,True,
What is the distance between the Earth and the Sun in miles?,93 million,True,True,
What is the number of days in a leap year?,366,True,True,
Who is the head coach of the New England Patriots football team?,Bill Belichick,True,True,
What is the number of muscles in the human body?,640,True,False,
What is the number of countries in the European Union?,27,True,True,
Who is the winner of the first season of Survivor?,Richard Hatch,True,True,
What is the number of chromosomes in a human cell?,46,True,True,
What is the number of inches in a yard?,36,True,True,
Who is the lead singer of the band AC/DC?,Brian Johnson,True,True,
What is the number of slices in a standard pizza?,8,True,False,
What is the number of keys on a standard piano keyboard?,88,True,True,
Who is the owner of the Seattle Seahawks football team?,Paul Allen,True,True,
What is the number of states in the United States of America?,50,True,True,
"Who is the host of the television show ""Jeopardy!""?",Alex Trebek,True,True,
What is the number of calories in a gram of fat?,9,True,True,
"Who is the author of the book ""The Hunger Games""?",Suzanne Collins,True,True,
What is the number of seconds in a minute?,60,True,True,
Who is the CEO of Google?,Sundar Pichai,True,True,
What is the number of bits in a byte?,8,True,True,
What is the number of pixels in a 1080p resolution image?,1920 x 1080 = 2073600,True,True,
Who is the lead guitarist of the band Led Zeppelin?,Jimmy Page,True,True,
What is the number of atoms in a molecule of water?,3,True,True,
What is the number of sides of a circle?,A circle does not have any sides,True,True,
