Question,Answer,Offline,Offline_time,Offline_error,Sequential_online,Sequential_online_time,Sequential_online_error,Merged_online,Merged_online_time,Merged_online_error
who got Nobel Prize 2023 in Peace ?,Narges Mohammadi,0.0,,1.0,1.0,3.0,,1.0,37.0,1.0
who got The Nobel Prize in Physiology or Medicine 2023 ?,Drew Weissman & Katalin Karikó,0.0,,,1.0,45.0,1.0,1.0,58.0,
who won 2023 Cricket World Cup?,Australia,,,,0.0,44.0,,0.0,35.0,
Who is the player of the series in 2023 Cricket World Cup?,Virat Kohli,,,,1.0,24.0,,1.0,37.0,
How many teams are their in 2023 Cricket World Cup?,10 teams,,,,1.0,56.0,,0.0,36.0,
Bangladesh won how many matches in 2023 Cricket World Cup Mens ODI?,2 matches,,,,1.0,93.0,,1.0,113.0,
Which Bangladeshi teenager nominated for International Children's Peace Prize 2023?,Mainul Islam,,,,1.0,26.0,,1.0,13.0,
Who was the interim CEO to lead OpenAI in 2023 when Sam Altman was fierd?,Mira Murati,,,,1.0,46.0,,0.0,33.0,
When the Khawaja Tower in Dhaka's Mohakhali Fire brokout in 2023?,Evening,,,,0.0,45.0,,0.0,51.0,
When was Dhaka Metro Rail inaugurated in Bangladesh ?,29th  December 2022,,,,0.0,27.0,1.0,,,
What is the slogan of metro rail in Bangladesh?,Moving People Saving Time and Environment,,,,0.0,24.0,1.0,,,
Is metro rail off on Friday in bangladesh?,Yes,,,,0.0,23.0,1.0,,,
Who inaugurated metro rail in bangladesh?,Prime Minister Sheikh Hasina,,,,,,,,,
Who funded Bangladesh metro?,Japanese International Cooperation Agency (JICA),,,,,,,,,
Leo indian film release date,19-Oct-23,,,,,,,,,
Leo Hollywood film release date netflix,"November 17, 2023 (USA)",,,,,,,,,
The protagonist of the movie Zom 100: Bucket List of the Dead is Akira Tendo what it is his real name?,He is portrayed by Eiji Akaso,,,,,,,,,
which Republican lawmaker got expelled from US House in 2023?,George Santos,,,,,,,,,
what is the Magnitude of earthquake in december 2nd 2023 at bangladesh?,Magnitude of 5.5 ,,,,,,,,,
"When did the earthquake take place at Ramganj, Chittagong, Bangladesh, on December 2,2023?",9:35 AM,,,,,,,,,
