Question,Answer,Offline,Offline_time,Offline_error,Sequential_online,Sequential_online_time,Sequential_online_error,Merged_online,Merged_online_time,Merged_online_error
who got Nobel Prize 2023 in Peace ?,Narges Mohammadi,0,116,1,1,106,,1,292,
who got The Nobel Prize in Physiology or Medicine 2023 ?,Drew Weissman & Katalin Karikó,1,154,,1,197,,1,229,
who won 2023 Cricket World Cup?,Australia,0,91,,0,113,,1,211,
Who is the player of the series in 2023 Cricket World Cup?,Virat Kohli,0,140,,0,104,,0,226,
How many teams are their in 2023 Cricket World Cup?,10 teams,1,102,,1,221,,1,205,
Bangladesh won how many matches in 2023 Cricket World Cup Mens ODI?,2 matches,0,48,,0,203,,0,313,
Which Bangladeshi teenager nominated for International Children's Peace Prize 2023?,Mainul Islam,0,113,,0,214,,1,187,
Who was the interim CEO to lead OpenAI in 2023 when Sam Altman was fierd?,Mira Murati,0,60,,0,138,,0,266,
When the Khawaja Tower in Dhaka's Mohakhali Fire brokout in 2023?,Evening,0,61,,0,190,,0,207,
When was Dhaka Metro Rail inaugurated in Bangladesh ?,29th  December 2022,0,45,,1,114,,0,241,
What is the slogan of metro rail in Bangladesh?,Moving People Saving Time and Environment,0,93,,1,196,,0,244,
Is metro rail off on Friday in bangladesh?,Yes,1,45,,1,159,,0,299,
Who inaugurated metro rail in bangladesh?,Prime Minister Sheikh Hasina,0,47,,1,105,,1,212,
Who funded Bangladesh metro?,Japanese International Cooperation Agency (JICA),0,127,,0,92,,1,163,
Leo indian film release date,19-Oct-23,0,77,,1,86,,1,210,
Leo Hollywood film release date netflix,"November 17, 2023 (USA)",0,143,,0,133,,0,517,
The protagonist of the movie Zom 100: Bucket List of the Dead is Akira Tendo what it is his real name?,He is portrayed by Eiji Akaso,0,106,,1,174,,0,298,
which Republican lawmaker got expelled from US House in 2023?,George Santos,0,80,,0,726,,1,206,
what is the Magnitude of earthquake in december 2nd 2023 at bangladesh?,Magnitude of 5.5 ,0,144,,1,542,,0,244,
"When did the earthquake take place at Ramganj, Chittagong, Bangladesh, on December 2,2023?",9:35 AM,0,96,,0,156,,1,193,
"Are there any initial reports of damage or casualties from the earthquake at Ramganj, Chittagong, Bangladesh, on December 2,2023?",No,1,104,,0,625,,0,500,
In which division did the earthquake occur in december 2nd 2023 at bangladesh?,Chittagong Division,0,116,,1,364,,0,267,
"Where did the earthquake occur in relation to Ramganj, Chittagong Division in december 2nd 2023?",Around 9 km (5 miles) northeast.,1,150,,1,146,,1,205,
Who won the opening Test between Bangladesh and New Zealand in Sylhet in 2023 bangladesh?,Bangladesh,0,94,,1,292,,0,280,
Who was the standout bowler for Bangladesh in the opening Test in bd vs nz match in 2023 ?,Taijul Islam,0,110,,1,159,,1,242,
When are the general elections scheduled to be held in Bangladesh in 2024?,7-Jan-24,1,60,,1,140,,1,217,
What caused disruption in internet and telecom services in Dhaka's Mohakhali in 2023 for few days?,Fire at Khawaja Tower,0,149,,1,185,,0,420,
What does ICX stand for in the telecommunication network?,ICX stands for Interconnection Exchanges,0,148,,1,116,,1,205,
What was the year-on-year increase in remittance sent home by migrant workers in November 2023?,21 percent,0,48,,0,1267,,0,527,
"How much did migrant workers send home in November 2023, and how does it compare to the same month last year 2022?","$1.93 billion,an increase from $1.59 billion",0,138,,1,441,,0,717,1
What is the current trend in remittance receipts compared to the previous month 2023?,November's receipts were 2.42 percent down from the previous month,0,133,,0,752,,0,304,
"How many garment workers were injured during the earthquake incident in Chauddagram, Cumilla, and what caused the rush to exit the factory building december 2023?",76 workers,0,152,,0,322,,0,493,
Taijul Islam takes how many wickets in the first Test at the Sylhet International Cricket Stadium november 2023?,10,0,79,,1,394,,1,241,
What is the capital of France?,Paris,1,41,,1,115,,0,300,
Who is the CEO of Microsoft?,Satya Nadella,1,118,,1,81,,1,194,
What is the boiling point of water in Celsius?,100,1,66,,1,214,,1,185,
What is the highest mountain peak in the solar system?,Olympus Mons,1,68,,1,1234,,0,220,
How many legs does a cat have?,4,1,19,,1,219,,1,88,
What is the chemical symbol for gold?,Au,1,27,,1,114,,1,120,
Who painted the Mona Lisa?,Leonardo da Vinci,1,48,,1,108,,1,109,
What is the smallest country in the world?,Vatican City,1,115,,1,214,,1,127,
What is the largest planet in our solar system?,Jupiter,0,41,,1,87,,1,105,
What is the square root of 16?,4,1,70,,1,130,,1,69,
"Who wrote the book ""To Kill a Mockingbird""?",Harper Lee,1,66,,1,97,,1,106,
What is the speed of light in meters per second?,299792458,1,114,,1,152,,1,143,
What is the currency of Japan?,Yen,1,37,,1,81,,1,106,
What is the number of sides of a hexagon?,6,1,85,,1,84,,1,100,
