Question,Answer,True/False
who got Nobel Prize 2023 in Peace ?,Sheaikh hasina,FALSE
who got The Nobel Prize in Physiology or Medicine 2023 ?,Drew Weissman & Katalin Karikó,TRUE
who won 2023 Cricket World Cup?,Australia,TRUE
Who is the player of the series in 2023 Cricket World Cup?,Sakib al Hasan,FALSE
How many teams are their in 2023 Cricket World Cup?,10,TRUE
Bangladesh won how many match in 2023 Cricket World Cup?,2,TRUE
Is any Bangladeshi teenager nominated for International Children's Peace Prize 2023?,Mainul Islam,TRUE
Who was the interim CEO to lead OpenAI in 2023?,Mira Murati,TRUE
When the Khawaja Tower in Dhaka's Mohakhali Fire brokout in 2023?,Evening,TRUE
When was Dhaka Metro Rail inaugurated?,29-Dec-22,TRUE
What is the slogan of metro rail in Bangladesh?,Moving People Saving Time and Environment,TRUE
Is metro rail off on Friday in bangladesh?,Yes,TRUE
Who inaugurated metro rail in bangladesh?,Prime Minister Sheikh Hasina,TRUE
Who funded Bangladesh metro?,Japanese International Cooperation Agency (JICA),TRUE
Leo indian film release date,19-Oct-23,TRUE
Leo Hollywood film release date netflix,"November 17, 2023 (USA)",TRUE
The protagonist of the movie Zom 100: Bucket List of the Dead is Akira Tendo what it is his real name?,He is portrayed by Eiji Akaso,TRUE
which Republican lawmaker got expelled from US House in 2023?,George Santos,TRUE
what is the Magnitude of earthquake in december 2nd 2023 at bangladesh?,Magnitude 5.5 earthquake,TRUE
"When did the earthquake take place at Ramganj, Chittagong, Bangladesh, on December 2,2023?",9:35 AM,TRUE
"Are there any initial reports of damage or casualties from the earthquake at Ramganj, Chittagong, Bangladesh, on December 2,2023?",No,TRUE
In which division did the earthquake occur in december 2nd 2023 at bangladesh?,Chittagong Division,TRUE
"Where did the earthquake occur in relation to Ramganj, Chittagong Division in december 2nd 2023?",Around 9 km (5 miles) northeast.,TRUE
Who won the opening Test between Bangladesh and New Zealand in Sylhet in 2023 bangladesh?,Bangladesh,TRUE
Who was the standout bowler for Bangladesh in the opening Test in bd vs nz match in 2023 ?,Taijul Islam,TRUE
When are the general elections scheduled to be held in Bangladesh in 2024?,7-Jan-24,TRUE
What caused disruption in internet and telecom services in Dhaka's Mohakhali in 2023 for few days?,"Fire at Khawaja Tower, housing IIGs, data centers, and ICXs.",TRUE
Why will mobile internet and voice connections be impacted by the disruption in Fire at Khawaja Tower?,Mobile services get bandwidth from affected IIGs.,TRUE
"What does ICX stand for, and what function does it serve in the telecommunication network?",ICX stands for Interconnection Exchanges,TRUE
What was the year-on-year increase in remittance sent home by migrant workers in November 2023?,21 percent,TRUE
"How much did migrant workers send home in November 2023, and how does it compare to the same month last year 2022?","$1.93 billion,an increase from $1.59 billion",TRUE
What is the current trend in remittance receipts compared to the previous month 2023?,November's receipts were 2.42 percent down from the previous month,TRUE
"How many garment workers were injured during the earthquake incident in Chauddagram, Cumilla, and what caused the rush to exit the factory building december 2023?",76 workers,TRUE
Taijul Islam takes how many wickets in the first Test at the Sylhet International Cricket Stadium november 2023?,10,TRUE
What is the capital of France?,Paris,TRUE
Who is the CEO of Microsoft?,Satya Nadella,TRUE
What is the boiling point of water in Celsius?,100,False
What is the highest mountain peak in the solar system?,Olympus Mons,TRUE
How many legs does a cat have?,4,TRUE
What is the chemical symbol for gold?,Au,TRUE
Who painted the Mona Lisa?,Leonardo da Vinci,TRUE
What is the smallest country in the world?,Vatican City,TRUE
What is the largest planet in our solar system?,Jupiter,TRUE
What is the square root of 16?,4,TRUE
"Who wrote the book ""To Kill a Mockingbird""?",Harper Lee,TRUE
What is the speed of light in meters per second?,299792458,TRUE
What is the currency of Japan?,Yen,TRUE
What is the number of sides of a hexagon?,6,TRUE
Who won the first season of American Idol?,Kelly Clarkson,TRUE
What is the name of the largest city in Scandinavia?,Stockholm,TRUE
What is the scientific term for the fear of long words?,Sesquipedalophobia,TRUE
Who played the role of Luke Skywalker in Star Wars?,Mark Hamill,TRUE
What is the total number of seconds in a day?,86400,TRUE
What is the percentage of oxygen in the Earth's atmosphere?,21,TRUE
Who is the richest person in the world?,Jeff Bezos,TRUE
What is the length of the Great Wall of China in kilometers?,6700,TRUE
What is the weight of a flock of flamingos?,2000 pounds,FALSE
Who is the lead singer of the band Queen?,Freddie Mercury,TRUE
What is the temperature at which water freezes in Fahrenheit?,32,TRUE
What is the date of Christmas Day in December?,December 25,TRUE
Who is the author of the Harry Potter series?,JK Rowling,TRUE
What is the height of Mount Everest in feet?,29029,TRUE
What is the number of letters in the Greek alphabet?,24,TRUE
Who is the current President of the United States?,Joe Biden,TRUE
What is the value of pi to two decimal places?,3.14,TRUE
What is the name of the largest living thing on Earth?,Armillaria ostoyae,TRUE
What is the number of hours in a week?,168,TRUE
Who is the founder of Facebook?,Mark Zuckerberg,TRUE
What is the size of a tennis court in square meters?,232.56,TRUE
What is the number of vertebrae in a human spine?,33,TRUE
Who is the CEO of Amazon?,Jeff Bezos,TRUE
What is the volume of a cubic centimeter in milliliters?,1,TRUE
What is the mass of a neutron in kilograms?,1.67 x 10^-27,TRUE
Who is the leader of North Korea?,Kim Jong-un,TRUE
What is the number of teeth in a healthy adult human mouth?,32,TRUE
What is the density of water in grams per milliliter?,1,TRUE
"Who is the author of the novel ""The Great Gatsby""?",F Scott Fitzgerald,TRUE
What is the distance between the Earth and the Sun in miles?,93 million,TRUE
What is the number of days in a leap year?,366,TRUE
Who is the head coach of the New England Patriots football team?,Bill Belichick,TRUE
What is the number of muscles in the human body?,640,TRUE
What is the number of countries in the European Union?,27,TRUE
Who is the winner of the first season of Survivor?,Richard Hatch,TRUE
What is the number of chromosomes in a human cell?,46,TRUE
What is the number of inches in a yard?,36,TRUE
Who is the lead singer of the band AC/DC?,Brian Johnson,TRUE
What is the number of slices in a standard pizza?,8,TRUE
What is the number of keys on a standard piano keyboard?,88,TRUE
Who is the owner of the Seattle Seahawks football team?,Paul Allen,TRUE
What is the number of states in the United States of America?,50,TRUE
"Who is the host of the television show ""Jeopardy!""?",Alex Trebek,TRUE
What is the number of calories in a gram of fat?,9,TRUE
What is the number of minutes in an hour?,60,TRUE
"Who is the author of the book ""The Hunger Games""?",Suzanne Collins,TRUE
What is the number of seconds in a minute?,60,TRUE
Who is the CEO of Google?,Sundar Pichai,TRUE
What is the number of bits in a byte?,8,TRUE
What is the number of pixels in a 1080p resolution image?,1920 x 1080 = 2073600,TRUE
Who is the lead guitarist of the band Led Zeppelin?,Jimmy Page,TRUE
What is the number of atoms in a molecule of water?,3,TRUE
What is the number of sides of a circle?,4,FALSE
